Test,First,Function,Iterations,GA%,PSO%,GA iterations,PSO iterations,X,Y
1,GA,2,20,100.0%,0.0%,20.0,0.0,1.3501999999999992,-0.6600460946927765
1,GA,2,20,100.0%,0.0%,20.0,0.0,9.784197560386534,10.0
1,GA,2,20,80.0%,20.0%,16.0,4.0,1.3503000000000007,-0.6600622484487995
1,GA,2,20,80.0%,20.0%,16.0,4.0,8.889161775603213,10.0
1,GA,2,20,60.00000000000001%,40.0%,12.000000000000002,8.0,1.3591999999999995,-0.6347640500890817
1,GA,2,20,60.00000000000001%,40.0%,12.000000000000002,8.0,8.148827739658058,10.0
1,GA,2,20,40.00000000000001%,60.00000000000001%,8.000000000000002,12.000000000000002,1.3505000000000003,-0.6600745121581788
1,GA,2,20,40.00000000000001%,60.00000000000001%,8.000000000000002,12.000000000000002,2.9221490566323896,12.713904856634775
1,GA,2,40,100.0%,0.0%,40.0,0.0,1.3505000000000003,-0.6600745121581788
1,GA,2,40,100.0%,0.0%,40.0,0.0,0.1700035185652704,0.4058128180155519
1,GA,2,40,80.0%,20.0%,32.0,8.0,1.3514,-0.6597987595165673
1,GA,2,40,80.0%,20.0%,32.0,8.0,1.3438107465592655,-0.6452712402069886
1,GA,2,40,60.00000000000001%,40.0%,24.000000000000004,16.0,1.3505000000000003,-0.6600745121581788
1,GA,2,40,60.00000000000001%,40.0%,24.000000000000004,16.0,1.351526715658926,-0.6597164211670729
1,GA,2,40,40.00000000000001%,60.00000000000001%,16.000000000000004,24.000000000000004,1.3503000000000007,-0.6600622484487995
1,GA,2,40,40.00000000000001%,60.00000000000001%,16.000000000000004,24.000000000000004,1.5503301089788044,-0.6833972345891914
1,GA,2,60,100.0%,0.0%,60.0,0.0,1.3505000000000003,-0.6600745121581788
1,GA,2,60,100.0%,0.0%,60.0,0.0,5.883996065150918,10.0
1,GA,2,60,80.0%,20.0%,48.0,12.0,1.3520000000000003,-0.6593138672015114
1,GA,2,60,80.0%,20.0%,48.0,12.0,8.1474702828777,10.0
1,GA,2,60,60.00000000000001%,40.0%,36.00000000000001,24.0,1.3505000000000003,-0.6600745121581788
1,GA,2,60,60.00000000000001%,40.0%,36.00000000000001,24.0,1.5479785007188593,-0.6822606173317523
1,GA,2,60,40.00000000000001%,60.00000000000001%,24.000000000000004,36.00000000000001,1.3504000000000005,-0.660071721356791
1,GA,2,60,40.00000000000001%,60.00000000000001%,24.000000000000004,36.00000000000001,1.549416694714731,-0.683459596767294
1,GA,2,80,100.0%,0.0%,80.0,0.0,1.3505000000000003,-0.6600745121581788
1,GA,2,80,100.0%,0.0%,80.0,0.0,3.412900809760868,10.0
1,GA,2,80,80.0%,20.0%,64.0,16.0,1.3505000000000003,-0.6600745121581788
1,GA,2,80,80.0%,20.0%,64.0,16.0,1.3514255904071115,-0.6597829969759739
1,GA,2,80,60.00000000000001%,40.0%,48.00000000000001,32.0,1.3583999999999996,-0.6391876627312482
1,GA,2,80,60.00000000000001%,40.0%,48.00000000000001,32.0,1.5491017802024245,-0.6833325839809504
1,GA,2,80,40.00000000000001%,60.00000000000001%,32.00000000000001,48.00000000000001,1.3500999999999994,-0.6600232614131142
1,GA,2,80,40.00000000000001%,60.00000000000001%,32.00000000000001,48.00000000000001,1.5498398503241817,-0.6835104002896637
1,GA,2,100,100.0%,0.0%,100.0,0.0,1.3583999999999996,-0.6391876627312482
1,GA,2,100,100.0%,0.0%,100.0,0.0,1.8463287539343365,1.4300771690477019
1,GA,2,100,80.0%,20.0%,80.0,20.0,1.3505000000000003,-0.6600745121581788
1,GA,2,100,80.0%,20.0%,80.0,20.0,1.5577773597118258,-0.658961926083169
1,GA,2,100,60.00000000000001%,40.0%,60.00000000000001,40.0,1.3520000000000003,-0.6593138672015114
1,GA,2,100,60.00000000000001%,40.0%,60.00000000000001,40.0,5.558020795764088,10.0
1,GA,2,100,40.00000000000001%,60.00000000000001%,40.00000000000001,60.00000000000001,1.3520000000000003,-0.6593138672015114
1,GA,2,100,40.00000000000001%,60.00000000000001%,40.00000000000001,60.00000000000001,1.5490754739097132,-0.6833185312448355
